Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,,,,,,,
65,34,1,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,,,,,,,
,,,,January,11,"1, 17, 18, 19, 23, 24, 25, 26, 28, 30, 31",20,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 27, 29",0,None,,,,,,,,,,
,,,,February,17,"1, 3, 4, 10, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28,",11,"2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 22",0,None,,,,,,,,,,
,,,,March,24,"1, 2,  3, 4, 5, 6, 7, 8, 9, 12, 13, 14, , 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 30",7,"10, 11, 16, 26, 27, 28, 31",0,None,,,,,,,,,,
,,,,April,25,"1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30",4,"11, 12, 5, 24, 25",0,None,,,,,,,,,,
,,,,May,28,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",3,"18, 19, 20",0,None,,,,,,,,,,
,,,,June,22,"2, 3, 4, 5, 6, 7 , 8, 9, 13, 14, 15, 17, 19, 20, 22, 25, 26, b27, 28, 29, 30",8,"10, 11, 12, 16, 18, 21, 23, 24",0,None,,,,,,,,,,
,,,,July,25,"1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29, 31",5,"6, 11, 18, 19, 30",0,None,,,,,,,,,,
,,,,August,15,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",16,"1, 2, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, m29, 30, 31",0,None,,,,,,,,,,
,,,,September,14,"4, 5,6 ,7, 8, 9, 11, 17, 23, 24, 25, 26, 27, 28",15,"1, 2, 3, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 29, 30",0,None,,,,,,,,,,
,,,,October,21,"2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 16, 20, 21, 22, 25, 26, 27, 29, 30, 31",8,"1, 7, 14, 15, 17, 19, 23, 24",2,"18, 28",,,,,,,,,,
,,,,November,19,"1, 2, 5, 6, 7, 13, 14, 15, 16, 17, 18, 20, 21, 25,  26, 27, 28, 29, 30",11,"3, 4, 8, 9, ,10, 11, 12, 19, 22, 23, 24",0,None,,,,,,,,,,
,,,,December,15,"1, 2, 3, 4, 5, 9, 10, 11, 13, 23, 24, 25, 26, 27, 28",16,"6, 7, 8, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 29, 30, 31",0,None,,,,,,,,,,
,,,,Total,236,,124,,2,,,,,,,,,,,
,,,,Total %,65.1934,,34.2541,,0.5525,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
