Acceptable,Unacceptable,Unapplicable,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,,,
57,29,14,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,,,
,,,June,0,None,0,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29,  30",,,,,,
,,,July,27,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24 ,26, 27, 28, 31",4,"4, 25, 29, 30",0,None,,,,,,
,,,August,21,"1, 2, 3, 4, 5, 6, 7, 12, 14, 15, 16, 17, 19, 21,22, 23, 24, 25, 26, 29, 31",9,"8, 9, 10, 11, 13, 18, 27, 28, 30",0,None,,,,,,
,,,September,17,"4, 6, 7, 8, 13, 14, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29",13,"1, 2, 3, 8, 9, 10, 11, 12, 15, 16, 23, 24, 30",0,None,,,,,,
,,,October,22,"2, 3, 4,5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21,  22, 26, 27, 28, 29, 30",9,"1, 12, 13, 14, 15,. 23, 24, 25, 31",0,None,,,,,,
,,,November,23,"3, 4, 58, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24,. 25, 28, 29, 30",7,"1, 2, 11, 17, 22, 26, 27",0,None,,,,,,
,,,December,12,"1, 2, 3, 4, 165, 16, 21, 22, 23, 24, 27, 31",19,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30",0,None,,,,,,
,,,Total,122,,61,,30,,,,,,,
,,,Total %,57.2770,,28.6385,,14.0845,,,,,,,
