Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,
63,36,1,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,
,,,,January,16,"1, 4, 8, 9, 15, 16, 17, 18, 19, 23, 24, 25,  26, 28, 30, 31",15,"2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 20, 21, 22, 27, 29",0,None,,,,
,,,,February,17,"1, 3, 4, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28",10,"2, 5, 6, 7, 8, 9, 11, 13, 14, 22, 26",0,None,,,,
,,,,March,17,"1, 2, 3, 4, 6, 7, 8, 9, 12, 13, 14, 17, 18, 22, 23, 24, 29",13,"5, 10, 11, 15, 16, 20, 21, 25, 26, 27, 28, 30, 31",0,None,,,,
,,,,April,20,"1, 2, 3, 4, 6, 7, 8, 9, 10, 15, 16, 17, 18, 19, 20, 22, 23.  28, 29, 30",10,"5, 11, 12, 13, 14, 21, 24, 25, 26, 27",0,None,,,,
,,,,May,24,"3, 4, 5, 6, 7, 8, 9*, 10, 11, 12, 14, 15, 16, 17, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",7,"1, 2, 13, 18, 19, 20, 21",0,None,,,,
,,,,June,18,"1, 2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 19, 25, 26, 27, 28, 29, 30",12,"6, 7, 10, 11,16, 17, 18, 20, 21, 22, 23, 24",0,None,,,,
,,,,July,22,"1, 2, 3, 4, 5, 9, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29, 31",8,"6, 7, 8, 10, 11, 18, 19, 30",1,22,,,,
,,,,August,21,"3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24,25, 27, 28, 30",9,"1, 2, 5, 8, 19, 20, 23, 26, 29",0,None,,,,
,,,,September,14,"5, 6, 7, 8, 9, 11, 17, 18, 20, 23,. 24, 25, 26, 27",16,"1, 2, 3, 4, 10, 12, 13, 14, 15, 16, 19, 21, 22, 28, 29, 30",0,None,,,,
,,,,October,23,"1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 31",7,"5, 7, 8, 14  15, 23, 24",1,28,,,,
,,,,November,20,"1, 2, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 18, 20, 25,  26, 27, 258, 29, 30",10,"3, 4, 8, 11, 12, 19, 21, 22, 23, 24",0,None,,,,
,,,,December,16,"1, 2, 3, 4,  5, 8, 9, 10, 11, 13, 23, 24, 25, 26, 27, 28",15,"6, 7, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 29, 30, 31",0,None,,,,
,,,,Total,228,,132,,2,,,,,
,,,,Total %,62.9834,,36.4641,,0.5525,,,,,
