Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,
40,48,12,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,
,,,,January,9,"1, 17, 18, 19, 21, 24, 26, 27, 31",23,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 25, 28, 29, 30",0,None,,
,,,,February,13,"1, 2, 3, 10, 15, 18, 19, 21, 23, 24, 25, 26, 28",9,"11, 12, 13, 14, 16, 17, 20, 22, 27",6,"4, 5, 6, 7, 8, 9",,
,,,,March,17,"4, 5, 6,7 , 8, 9, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 31",14,"1, 2, 3, 10, 11, 12, 14, 15, 16, 21, 22, 23, 24, 27",0,None,,
,,,,April,25,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30",5,"5, 12, 13, 24, 25",0,None,,
,,,,May,9,"3, 4,8, 14, 15, 16, 17, 25, 26",22,"1, 2, 5, 6, 7, 9, 10, 11, 12, 13, 18, 19, 20, 21m, 22, 23, 24, 27, 28,  ,29,  30, 31",0,None,,
,,,,June,3,"13, 20, 23",28,"1, 2, 3, 4,5 , 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, ,29, 30",0,None,,
,,,,July,9,"1, 2, 3, 5, 6, 7, 8, 9, 10",2,"4, 11",20,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",,
,,,,Total,85,,103,,26,,214,
,,,,Total %,39.7196,,48.1308,,12.1495,,,
