Kt*_C_A_Cha,ΔKt*_C_A_Cha,Kt*_Cy_A_Cha,ΔKt*_Cy_A_Cha,Kt*_I_A_Cha,ΔKt*_I_A_Cha,Kt*_AD_A_Cha,ΔKt*_AD_A_Cha
0.1454,0.1631,0.0152,0.1357,0.0340,0.1323,0.1454,0.1631
0.3085,0.1616,0.1509,0.1453,0.1663,0.1555,0.3085,0.1616
0.4701,0.1249,0.2962,0.1274,0.3218,0.1433,0.4701,0.1249
0.5950,0.0815,0.4236,0.1213,0.4651,0.1175,0.5950,0.0815
0.6765,0.0463,0.5448,0.0191,0.5825,0.0719,0.6765,0.0463
0.7227,0.0383,0.5640,0.0414,0.6544,0.0546,0.7227,0.0383
0.7610,0.0329,0.6054,-0.0486,0.7090,0.0413,0.7610,0.0329
0.7940,0.0319,0.5567,-0.0515,0.7503,0.0380,0.7940,0.0319
0.8259,0.0278,0.5053,-0.0815,0.7883,0.0401,0.8259,0.0278
0.8537,0.0269,0.4238,0.0823,0.8284,0.0176,0.8537,0.0269
0.8806,0.0113,0.5060,0.3086,0.8460,0.0272,0.8806,0.0113
0.8919,0.0126,0.8147,0.0187,0.8732,0.0228,0.8919,0.0126
0.9045,-0.0040,0.8333,0.1287,0.8960,0.0133,0.9045,-0.0040
0.9005,0.0117,0.9620,0.0116,0.9093,0.0125,0.9005,0.0117
0.9122,0.0100,0.9736,0.0003,0.9218,0.0191,0.9122,0.0100
0.9222,0.0029,0.9739,0.0036,0.9408,0.0040,0.9222,0.0029
0.9252,0.0100,0.9775,0.0026,0.9449,0.0120,0.9252,0.0100
0.9351,0.0052,0.9801,0.0065,0.9569,0.0063,0.9351,0.0052
0.9403,0.0045,0.9867,0.0083,0.9632,0.0085,0.9403,0.0045
0.9448,0.0004,0.9949,0.0030,0.9717,0.0050,0.9448,0.0004
0.9452,0.0104,0.9979,0.0010,0.9766,0.0047,0.9452,0.0104
0.9556,0.0041,0.9990,0.0098,0.9813,-0.0009,0.9556,0.0041
0.9597,-0.0027,0.0850,0.1677,0.9805,0.0101,0.9597,-0.0027
0.9570,0.0036,0.2526,0.3067,0.9906,0.0008,0.9570,0.0036
0.9606,-0.0111,0.5593,0.3024,0.9914,0.0040,0.9606,-0.0111
0.9495,0.0061,0.8617,-0.8617,0.9953,0.0059,0.9495,0.0061
0.9726,-0.0061,0.4197,0.0759,0.9511,0.0144,0.9726,-0.0061
0.9665,0.0049,0.4956,0.1003,0.9655,-0.9655,0.9665,0.0049
0.9714,-0.0045,0.5959,0.2057,0.7454,0.1694,0.9714,-0.0045
0.9670,0.0012,0.8017,0.0924,0.9148,0.0088,0.9670,0.0012
0.9681,-0.0140,0.8940,0.0514,0.9236,-0.9236,0.9681,-0.0140
0.9541,0.0028,0.9454,0.0259,0.0819,0.2215,0.9541,0.0028
0.9569,0.0052,0.9714,0.0179,0.3034,0.2955,0.9569,0.0052
0.9621,-0.0020,0.9893,0.0155,0.5989,0.2396,0.9621,-0.0020
0.9554,-0.0186,0.8914,-0.8914,0.9738,0.0015,0.9554,-0.0186
0.9369,0.0072,0.0584,0.1640,0.9753,-0.0518,0.9369,0.0072
0.9441,-0.0027,0.2224,0.2714,0.9235,0.0045,0.9441,-0.0027
0.9414,-0.0036,0.4938,0.2721,0.9280,-0.0849,0.9414,-0.0036
0.9378,0.0118,0.7658,0.1621,0.8431,-0.0681,0.9378,0.0118
0.9497,-0.0200,0.9280,0.0607,0.7750,0.1204,0.9497,-0.0200
0.9297,0.0130,0.9887,0.0205,0.8954,-0.8954,0.9297,0.0130
0.9427,0.0118,0.1109,0.2379,0.8888,-0.8888,0.9427,0.0118
0.9545,0.0019,0.3487,0.2957,0.8834,-0.2611,0.9545,0.0019
0.9564,-0.0075,0.6445,0.2703,0.6223,-0.6223,0.9564,-0.0075
0.9489,0.0012,0.9148,-0.9148,0.0999,0.2152,0.9489,0.0012
0.9502,-0.0446,0.7234,0.2108,0.3150,0.2754,0.9502,-0.0446
0.9056,0.0242,0.9342,-0.9342,0.5905,0.2140,0.9056,0.0242
0.9298,0.0314,0.0789,0.1740,0.8044,0.1372,0.9298,0.0314
0.9612,0.0216,0.2529,0.2425,0.9416,0.0512,0.9612,0.0216
0.9828,-0.0149,0.4954,0.2871,0.9929,-0.9929,0.9828,-0.0149
0.9679,0.0205,0.7825,0.1479,0.9438,-0.9438,0.9679,0.0205
0.9884,0.0042,0.9304,0.0447,0.8882,-0.8882,0.9884,0.0042
0.9926,-0.9926,0.9751,0.0113,0.9733,-0.9733,0.9926,-0.9926
0.0494,0.0677,0.9864,0.0199,0.9873,-0.9873,0.0494,0.0677
0.1170,0.0738,0.009843796,0.063586822,0.0854,0.1788,0.1170,0.0738
0.1908,0.0528,0.073430618,0.116026903,0.2642,0.2221,0.1908,0.0528
0.2437,-0.0163,0.189457521,0.08360617,0.4863,0.2052,0.2437,-0.0163
0.2274,0.0720,0.273063691,0.033733969,0.6915,0.1330,0.2274,0.0720
0.2994,0.1813,0.30679766,0.084173788,0.8244,0.0618,0.2994,0.1813
0.4807,0.0700,0.390971448,0.010234743,0.8862,0.0398,0.4807,0.0700
0.5507,-0.0783,0.401206191,0.0448567,0.9260,0.0182,0.5507,-0.0783
0.4724,0.1067,0.446062891,-0.232167506,0.9441,0.0240,0.4724,0.1067
0.5791,0.0635,0.213895384,0.016744874,0.9681,0.0144,0.5791,0.0635
0.6427,0.1521,0.230640259,-0.020398833,0.9825,0.0130,0.6427,0.1521
0.7948,0.0019,0.210241425,0.076564117,0.9955,0.0102,0.7948,0.0019
0.8293,0.0207,0.251464858,0.096611674,0.8246,0.1138,0.8293,0.0207
0.8500,0.0288,0.348076533,-0.000469631,0.9384,-0.9384,0.8500,0.0288
0.8789,0.0536,0.347606902,-0.126223085,0.9663,-0.9663,0.8789,0.0536
0.9324,-0.0909,0.221383817,0.298407557,0.8939,-0.0179,0.9324,-0.0909
0.8415,0.0969,0.519791374,0.181260732,0.8760,0.0884,0.8415,0.0969
0.9384,0.0068,0.701052106,-0.219966059,0.9644,-0.9644,0.9384,0.0068
0.9452,0.0069,0.481086047,0.520859494,0.8992,0.0862,0.9452,0.0069
0.9456,0.0186,0.645634216,0.187987598,0.1155,0.2419,0.9456,0.0186
0.9642,-0.0026,0.833621814,-0.066365877,0.3574,0.2076,0.9642,-0.0026
0.9616,0.0006,0.767255937,-0.767255937,0.5651,0.1912,0.9616,0.0006
0.9622,0.0029,0.825613661,-0.043341747,0.7562,0.1049,0.9622,0.0029
0.9651,0.0064,0.782271914,0.164502053,0.8612,0.0488,0.9651,0.0064
0.9714,0.0031,0.946773967,-0.498595188,0.9100,0.0329,0.9714,0.0031
0.9745,0.0065,0.448178779,0.428459939,0.9429,0.0182,0.9745,0.0065
0.9811,0.0039,0.876638719,0.049596717,0.9611,0.0193,0.9811,0.0039
0.9849,0.0050,0.926235436,-0.298610676,0.9804,0.0060,0.9849,0.0050
0.9899,0.0103,0.62762476,-0.174514859,0.9864,0.0111,0.9899,0.0103
0.9340,-0.9340,0.695094518,-0.695094518,0.9037,-0.4052,0.9340,-0.9340
0.0647,0.1623,0.776591851,-0.345518746,0.4985,0.2781,0.0647,0.1623
0.2271,0.1812,0.431073105,0.321674598,0.7765,-0.7765,0.2271,0.1812
0.4083,0.1719,0.752747703,-0.752747703,0.6866,-0.6866,0.4083,0.1719
0.5802,0.1075,0.807561618,-0.485148515,0.7410,-0.7410,0.5802,0.1075
0.6876,0.0642,0.322413103,0.142922081,0.9915,-0.0766,0.6876,0.0642
0.7518,0.0436,0.465335185,0.50159727,0.9149,-0.9149,0.7518,0.0436
0.7955,0.0333,0.966932454,-0.118009356,0.9574,-0.6864,0.7955,0.0333
0.8288,0.0221,0.848923098,-0.848923098,0.2711,0.6177,0.8288,0.0221
0.8509,0.0195,0.825989961,-0.054861174,0.8887,-0.8887,0.8509,0.0195
0.8704,0.0183,0.771128787,-0.771128787,0.8820,-0.4107,0.8704,0.0183
0.8887,0.0156,0.929150599,-0.035842802,0.4713,0.2528,0.8887,0.0156
0.9043,0.0120,0.893307797,0.048019651,0.7241,-0.7241,0.9043,0.0120
0.9163,0.0137,0.941327448,-0.941327448,0.4712,0.3265,0.9163,0.0137
0.9300,0.0093,0.734485373,-0.734485373,0.7978,-0.7978,0.9300,0.0093
0.9393,0.0060,0.4635,0.4605,0.1037,0.2086,0.9393,0.0060
0.9453,0.0054,0.9240,0.0362,0.3124,0.2178,0.9453,0.0054
0.9507,0.0052,0.9602,-0.1955,0.5302,0.1730,0.9507,0.0052
0.9559,0.0044,0.7647,-0.2754,0.7031,0.1038,0.9559,0.0044
0.9603,0.0034,0.4892,0.0834,0.8070,0.0525,0.9603,0.0034
0.9637,0.0042,0.5727,0.0684,0.8595,0.0365,0.9637,0.0042
0.9679,0.0024,0.6411,0.0388,0.8960,0.0347,0.9679,0.0024
0.9703,0.0035,0.6799,-0.1487,0.9307,0.0217,0.9703,0.0035
0.9737,0.0029,0.5312,-0.0017,0.9524,0.0134,0.9737,0.0029
0.9766,0.0030,0.5295,0.0218,0.9658,0.0049,0.9766,0.0030
0.9796,0.0020,0.5514,0.2252,0.9707,0.0079,0.9796,0.0020
0.9815,0.0008,0.7765,-0.7765,0.9786,0.0034,0.9815,0.0008
0.9824,0.0038,0.7569,-0.2163,0.9820,0.0120,0.9824,0.0038
0.9861,0.0011,0.5406,-0.0185,0.9940,0.0109,0.9861,0.0011
0.9901,-0.0001,0.4850,0.0321,0.9979,-0.0515,0.9901,-0.0001
0.9900,-0.0003,0.5171,-0.0013,0.9463,-0.9463,0.9900,-0.0003
0.9897,0.0041,0.5158,0.0714,0.8490,-0.8490,0.9897,0.0041
0.9938,0.0032,0.5871,0.0333,0.7005,-0.2689,0.9938,0.0032
