Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.0022,0.0215,0.0034,0.0231,0.0053,0.1134,0.0022,0.0215
0.0237,0.0524,0.0265,0.0308,0.1187,0.1394,0.0237,0.0524
0.0761,0.0854,0.0574,-0.0287,0.2581,0.1425,0.0761,0.0854
0.1615,0.0908,0.0287,-0.0027,0.4006,0.0929,0.1615,0.0908
0.2523,0.0774,0.0260,-0.0112,0.4935,0.0391,0.2523,0.0774
0.3297,0.0614,0.0148,0.0062,0.5326,0.0244,0.3297,0.0614
0.3911,0.0552,0.0210,0.0152,0.5569,0.0508,0.3911,0.0552
0.4463,0.0438,0.0362,0.0297,0.6077,0.0782,0.4463,0.0438
0.4901,0.0411,0.0659,-0.0102,0.6860,-0.0806,0.4901,0.0411
0.5311,0.0331,0.0557,-0.0214,0.6054,0.0388,0.5311,0.0331
0.5642,0.0309,0.0343,0.0190,0.6442,-0.1065,0.5642,0.0309
0.5951,0.0336,0.0533,0.0300,0.5377,-0.2143,0.5951,0.0336
0.6287,0.0253,0.0833,0.0537,0.3234,0.0901,0.6287,0.0253
0.6540,0.0204,0.1370,0.0065,0.4135,0.2835,0.6540,0.0204
0.6744,0.0254,0.1435,0.0481,0.6970,0.0062,0.6744,0.0254
0.6997,0.0196,0.1916,0.1070,0.7032,0.0235,0.6997,0.0196
0.7194,0.0196,0.2986,0.0111,0.7267,0.0021,0.7194,0.0196
0.7390,0.0185,0.3097,0.0565,0.7288,0.0163,0.7390,0.0185
0.7575,0.0136,0.3662,-0.0319,0.7452,0.0074,0.7575,0.0136
0.7711,0.0119,0.3343,0.0341,0.7526,0.0140,0.7711,0.0119
0.7830,0.0135,0.3684,-0.0393,0.7666,0.0058,0.7830,0.0135
0.7965,0.0076,0.3292,-0.1350,0.7724,-0.0002,0.7965,0.0076
0.8042,0.0101,0.1942,-0.0860,0.7722,0.0098,0.8042,0.0101
0.8143,0.0122,0.1082,-0.0016,0.7821,0.0041,0.8143,0.0122
0.8265,0.0058,0.1065,0.0276,0.7862,0.0001,0.8265,0.0058
0.8323,0.0070,0.1341,-0.0051,0.7863,0.0254,0.8323,0.0070
0.8392,0.0077,0.1290,0.0244,0.8116,-0.0785,0.8392,0.0077
0.8469,0.0026,0.1534,-0.0334,0.7332,0.0974,0.8469,0.0026
0.8495,0.0067,0.1200,-0.0171,0.8305,0.0084,0.8495,0.0067
0.8563,0.0066,0.1028,0.0035,0.8389,-0.0501,0.8563,0.0066
0.8629,-0.0233,0.1063,0.0056,0.7888,0.0226,0.8629,-0.0233
0.8396,0.0291,0.1119,0.0357,0.8114,-0.2508,0.8396,0.0291
0.8686,-0.0011,0.1475,0.0230,0.5606,0.0450,0.8686,-0.0011
0.8675,0.0084,0.1706,-0.0037,0.6056,-0.0852,0.8675,0.0084
0.8760,0.0024,0.1669,0.1028,0.5203,0.0458,0.8760,0.0024
0.8783,0.0053,0.2696,0.0909,0.5661,-0.0426,0.8783,0.0053
0.8836,0.0000,0.3605,0.0479,0.5235,0.0298,0.8836,0.0000
0.8837,0.0054,0.4084,0.1603,0.5533,0.1232,0.8837,0.0054
0.8891,0.0031,0.5688,0.2106,0.6765,0.0478,0.8891,0.0031
0.8922,0.0014,0.7794,-0.3463,0.7243,-0.2620,0.8922,0.0014
0.8936,0.0095,0.4331,0.0513,0.4624,-0.0124,0.8936,0.0095
0.9030,-0.0007,0.4843,-0.0092,0.4500,0.0693,0.9030,-0.0007
0.9024,0.0028,0.4751,-0.0873,0.5192,-0.0050,0.9024,0.0028
0.9052,-0.0098,0.3878,-0.0205,0.5142,-0.0399,0.9052,-0.0098
0.8954,0.0042,0.3673,-0.0135,0.4743,0.0257,0.8954,0.0042
0.8996,0.0029,0.3538,0.0635,0.4999,0.1830,0.8996,0.0029
0.9025,-0.0035,0.4173,0.1420,0.6830,0.1502,0.9025,-0.0035
0.8989,-0.0004,0.5593,0.0364,0.8332,0.0146,0.8989,-0.0004
0.8986,-0.0064,0.5957,-0.0244,0.8478,-0.0065,0.8986,-0.0064
0.8922,0.0009,0.5713,-0.2072,0.8413,-0.1650,0.8922,0.0009
0.8931,0.0055,0.3642,0.0081,0.6764,-0.0608,0.8931,0.0055
0.8985,-0.0086,0.3722,0.0170,0.6156,0.0685,0.8985,-0.0086
0.8900,-0.0159,0.3892,-0.0002,0.6840,-0.0375,0.8900,-0.0159
0.8741,-0.0103,0.3891,0.4788,0.6465,0.1456,0.8741,-0.0103
0.8638,-0.0039,0.8679,-0.1859,0.7921,0.0386,0.8638,-0.0039
0.8599,-0.0089,0.6819,-0.0142,0.8307,-0.0095,0.8599,-0.0089
0.8510,-0.0199,0.6677,-0.2305,0.8212,-0.2392,0.8510,-0.0199
0.8311,-0.0154,0.4372,-0.0435,0.5820,0.0878,0.8311,-0.0154
0.8157,-0.0255,0.3937,0.0047,0.6698,-0.0230,0.8157,-0.0255
