Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,
73,23,4,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.
,,,,April,16,"13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30",2,"20, 24",12,"1, 2, 3, 4, 5, 6,. 7, 8, 9 10, 11, 12"
,,,,May,25,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11,. 12, 13, 14, 15, 17, 18, 19, 2022, 23, 24, 25, 30, 31",6,"16, 21, 26, 27, 28, 29",0,None
,,,,June,29,"1,2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",1,19,0,None
,,,,July,28,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31",3,"5, 9, 28",0,None
,,,,August,28,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1619, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31",3,"17, 18, 27",0,None
,,,,September,17,"1, 3, 6, 10, 12, 13, 14, 18, 19, 21, 22, 24, 27, 28, 29, 30",13,"2, 4, 5, 7, 8, 9, 11, 15, 16, 17, 20, 23, 25",0,None
,,,,October,20,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 18, 19, 21, 22, 27, 28, 30",11,"11, 12, 13, 17, 20, 23, 24, 25, 26, 29, 31",0,None
,,,,November,17,"1, 2, 3, 4, 5, 611, 12, 13, 14 , 16, 17, 23, 24, 27, 29, 30",13,"7, 8, 9, 10, 15, 18, 19, 20, 21, 22, 25, 26, 28",0,None
,,,,December,21,"3, 8, 9, 10, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",10,"1, 2, 4, 5, 6, 7, 11, 12, 17, 31",0,None
,,,,Total,201,,62,,12,
,,,,Total %,73.0909,,22.5455,,4.3636,
