Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,
68,31,0,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,
,,,,January,18,"3, 6, 7, 8, 9, 10, 17, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",13,"1, 2, 4, 5,11, 12, 13, 14, 15, 16, 19, 20, 21",0,None,,,
,,,,February,23,"1, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27",4,"2, 5, 12, 21",0,None,,,
,,,,March,22,"1, 2, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31",9,"3, 4, 5, 10, 11, 17, 20, 27, 28",0,None,,,
,,,,April,25,"2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30",5,"1, 2, 3, 4, 11, 21",0,None,,,
,,,,May,20,"1, 2, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20, 24, 29, 30, 31",10,"7, 9, 11, 18, 21, 22, 25, 26, 27, 28",1,23,,,
,,,,June,25,"2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25,26, 28, 30",5,"1, 6, 22, 27, 29",0,None,,,
,,,,July,26,"1, 2, 4,6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31",5,"3, 5, 19, 20, 29",0,None,,,
,,,,August,20,"2, 6, 7, 8, 912, 13, 1416, 17, 1820, 21, 22, 24, 26, 27, 28, 29, 30",11,"1, 3, 4, 5, 10, 11, 15, 19, 23, 25, 31",0,None,,,
,,,,September,18,"1,2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 27",12,"8, 15, 17, 21, 22, 23, 24, 25, 26, 28, 29, 30",0,None,,,
,,,,October,19,"1, 2, 3, 4, 5, 6, 9, 10,.11, 12, 15, 16, 17, 18, 24, 25, 26, 27, 30",11,"7, 8, 13, 14, 19, 20, 21, 22, 23, 28, 29",0,None,,,
,,,,November,18,"1, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 20, 23, 24, 25, 26, 29, 30",12,"2, 3, 9, 10, 11, 12, 18, 19, 22, 27, 28",0,None,,,
,,,,December,14,"4, 7, 8, 9, 10, 14, 15, 16, 20, 21, 22, 23, 24, 25                                                                                          ",17,"1, 2, 3, 5, 6, 11, 12, 13, 17, 18, 19, 26, 27, 28, 29, 30, 31",0,None,,,
,,,,Total,248,,114,,1,,,,
,,,,Total %,68.3196,,31.4050,,0.2755,,,,
