Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.9996,-0.0039,0.9381,-0.0046,0.5139,-0.0747,0.9996,-0.0039
0.9956,-0.0062,0.9335,-0.0172,0.4392,0.2249,0.9956,-0.0062
0.9895,-0.0024,0.9164,-0.0161,0.6642,0.1238,0.9895,-0.0024
0.9870,-0.0001,0.9002,0.0030,0.7880,-0.7880,0.9870,-0.0001
0.9769,-0.0020,0.8710,-0.0019,0.9986,-0.0088,0.9769,-0.0020
0.9749,-0.0019,0.8691,0.0005,0.9898,-0.0070,0.9749,-0.0019
0.9730,-0.0005,0.8696,-0.0078,0.9828,-0.0052,0.9730,-0.0005
0.9726,-0.0001,0.8618,-0.0003,0.9776,-0.0054,0.9726,-0.0001
0.9724,0.0006,0.8616,-0.0046,0.9722,-0.0146,0.9724,0.0006
0.9730,-0.0056,0.8569,0.0002,0.9576,0.0157,0.9730,-0.0056
0.9674,-0.0041,0.8571,0.0063,0.9733,-0.1364,0.9674,-0.0041
0.9633,0.0016,0.8635,0.0064,0.8369,0.0628,0.9633,0.0016
0.9648,-0.0014,0.8698,0.0045,0.8997,0.0263,0.9648,-0.0014
0.9635,0.0024,0.8743,-0.0020,0.9260,0.0068,0.9635,0.0024
0.9658,0.0030,0.8723,-0.0007,0.9329,-0.0737,0.9658,0.0030
0.9688,0.0004,0.8715,-0.0116,0.8592,0.0277,0.9688,0.0004
0.9692,-0.0019,0.8599,-0.0125,0.8869,-0.0328,0.9692,-0.0019
0.9673,-0.0036,0.8474,0.0022,0.8541,-0.0523,0.9673,-0.0036
0.9637,-0.0037,0.8496,-0.0037,0.8018,0.0193,0.9637,-0.0037
0.9599,-0.0004,0.8460,0.0056,0.8212,-0.0863,0.9599,-0.0004
0.9596,-0.0033,0.8516,-0.0044,0.7349,0.0061,0.9596,-0.0033
0.9562,0.0006,0.8472,-0.0017,0.7409,-0.0816,0.9562,0.0006
0.9568,0.0053,0.8454,-0.0065,0.6594,-0.1304,0.9568,0.0053
0.9620,0.0010,0.8389,-0.0027,0.5290,-0.1874,0.9620,0.0010
0.9630,0.0060,0.8362,-0.0052,0.3416,-0.1224,0.9630,0.0060
0.9690,-0.0026,0.8310,0.0062,0.2192,-0.0936,0.9690,-0.0026
0.9664,-0.0009,0.8373,0.0038,0.1256,-0.1256,0.9664,-0.0009
0.9654,-0.0061,0.8411,-0.0073,0.9919,-0.0429,0.9654,-0.0061
0.9593,-0.0004,0.8338,-0.0036,0.9490,-0.0254,0.9593,-0.0004
0.9589,-0.0066,0.8302,0.0008,0.9236,-0.0043,0.9589,-0.0066
0.9524,-0.0047,0.8310,-0.0079,0.9193,-0.0042,0.9524,-0.0047
0.9477,-0.0107,0.8230,-0.0162,0.9151,0.0041,0.9477,-0.0107
0.9370,-0.0059,0.8068,0.0029,0.9192,-0.0032,0.9370,-0.0059
