Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.8501,-0.8501,0.0722,-0.0064,0.8543,-0.0151,0.8501,-0.8501
0.6372,-0.2039,0.0658,0.0523,0.8393,0.0139,0.6372,-0.2039
0.4333,-0.0937,0.1182,0.0461,0.8532,-0.0432,0.4333,-0.0937
0.3397,-0.1282,0.1643,0.0332,0.8100,0.0551,0.3397,-0.1282
0.2115,-0.0346,0.1974,-0.0249,0.8651,0.1241,0.2115,-0.0346
0.1769,0.0069,0.1726,0.0040,0.9893,-0.0226,0.1769,0.0069
0.1838,-0.0242,0.1766,-0.0578,0.9667,-0.1003,0.1838,-0.0242
0.1597,0.0249,0.1188,-0.0141,0.8664,-0.2532,0.1597,0.0249
0.1846,0.0717,0.1047,0.0080,0.6132,0.0290,0.1846,0.0717
0.2564,0.0764,0.1126,-0.0265,0.6423,0.0796,0.2564,0.0764
0.3327,0.0377,0.0861,0.0545,0.7218,0.0895,0.3327,0.0377
0.3704,-0.0814,0.1406,0.0142,0.8113,-0.5179,0.3704,-0.0814
0.2890,-0.0417,0.1549,0.0050,0.2934,0.2689,0.2890,-0.0417
0.2473,0.0133,0.1598,-0.0788,0.5623,0.2477,0.2473,0.0133
0.2605,0.5670,0.0810,0.0148,0.8100,-0.0765,0.2605,0.5670
0.8276,-0.3277,0.0958,-0.0142,0.7334,0.1020,0.8276,-0.3277
0.4999,-0.1998,0.0816,0.0105,0.8354,-0.6014,0.4999,-0.1998
0.3001,0.0365,0.0921,-0.0161,0.2340,0.0795,0.3001,0.0365
0.3365,0.0332,0.0761,0.0697,0.3134,0.0121,0.3365,0.0332
0.3697,-0.0538,0.1457,-0.0452,0.3255,-0.0228,0.3697,-0.0538
0.3159,-0.0238,0.1005,0.0205,0.3028,0.1120,0.3159,-0.0238
0.2921,-0.0264,0.1210,0.0332,0.4148,-0.0262,0.2921,-0.0264
0.2657,0.0485,0.1542,-0.0108,0.3886,-0.0384,0.2657,0.0485
0.3143,0.0596,0.1434,-0.0271,0.3502,-0.0094,0.3143,0.0596
0.3739,-0.3739,0.1164,0.0131,0.3407,-0.0727,0.3739,-0.3739
0.9146,-0.3830,0.1295,-0.0387,0.2680,-0.0224,0.9146,-0.3830
0.5315,0.2597,0.0908,0.0124,0.2456,-0.1059,0.5315,0.2597
0.7913,-0.7913,0.1032,0.0417,0.1397,-0.0325,0.7913,-0.7913
0.9976,-0.0061,0.1555,-0.0295,0.0845,-0.0076,0.9976,-0.0061
0.9915,-0.0067,0.1260,0.0004,0.0769,0.0208,0.9915,-0.0067
0.9848,0.0020,0.1264,0.0091,0.0978,0.2610,0.9848,0.0020
0.9868,-0.0046,0.1354,-0.0015,0.3587,-0.0124,0.9868,-0.0046
0.9822,-0.0003,0.1339,-0.0326,0.3463,-0.1853,0.9822,-0.0003
0.9819,-0.0039,0.1013,-0.0175,0.1611,0.0439,0.9819,-0.0039
0.9780,-0.0034,0.0838,0.0146,0.2050,0.1604,0.9780,-0.0034
0.9746,-0.0085,0.0984,0.0135,0.3654,0.4300,0.9746,-0.0085
0.9661,-0.0115,0.1119,0.0135,0.7954,-0.0237,0.9661,-0.0115
0.9546,-0.0037,0.1254,-0.0063,0.7717,-0.1791,0.9546,-0.0037
0.9509,-0.0052,0.1191,0.0511,0.5927,0.0253,0.9509,-0.0052
0.9457,-0.0079,0.1702,0.0091,0.6179,-0.2430,0.9457,-0.0079
0.9378,-0.0056,0.1793,-0.0211,0.3749,0.0339,0.9378,-0.0056
0.9322,-0.0071,0.1582,0.0092,0.4088,-0.1023,0.9322,-0.0071
0.9251,-0.0147,0.1675,-0.0109,0.3065,-0.0076,0.9251,-0.0147
0.9104,-0.0095,0.1566,-0.0006,0.2988,0.0627,0.9104,-0.0095
0.9010,-0.0115,0.1561,-0.0344,0.3616,0.1174,0.9010,-0.0115
0.8895,-0.0089,0.1216,-0.0127,0.4790,-0.1238,0.8895,-0.0089
0.8805,-0.0206,0.1089,-0.0071,0.3552,0.1180,0.8805,-0.0206
