Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,,,,,,,,,
18,9,73,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.,,,,,,,,
,,,,March,0,None,0,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30",,,,,,,,
,,,,April,1,None,1,None,28,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28",,,,,,,,
,,,,May,2,None,2,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 31",,,,,,,,
,,,,June,3,None,3,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 32",,,,,,,,
,,,,July,4,None,4,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 33",,,,,,,,
,,,,August,5,None,5,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 34",,,,,,,,
,,,,September,6,None,6,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 35",,,,,,,,
,,,,October,7,None,7,None,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 36",,,,,,,,
,,,,November,9,"21, 22, 23, 24, 25, 27, 28, 29, 30",1,26,20,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",,,,,,,,
,,,,December,28,"1, 2,. 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",3,"6, 7, 8",0,None,,,,,,,,
,,,,Total,65,,32,,258,,,,,,,,,
,,,,Total %,18.3099,,9.0141,,72.6761,,,,,,,,,
