Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,
81,18,1,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.
,,,,January,19,"1, 2, 3, 4, 5, 6, 7, 9, 10, 15, 16, 17, 18, 23, 24, 25, 26, 27, 28, 29, 30, 31",12,"1, 2, 5, 8, 11, 12, 1314, 19, 20, 21, 22",0,None
,,,,February,23,"1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28",3,"5, 12, 21",2,"9, 10"
,,,,March,25,"1, 2, 3, 4, 58, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 25, 26, 27, 29, 30, 31",6,"10, 13, 18, 19, 24, 28",0,None
,,,,April,24,"1, 2, 3, 6, 7, 8, 9, 10, 12, 13 , 14, 15, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28, 29, 30",6,"4, 5, 11, 21, 22, 24",0,None
,,,,May,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",1,18,0,None
,,,,June,28,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 232, 24, 25, 26, 27, 28, 30",2,"6, 29",0,None
,,,,July,29,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",2,"10, 31",0,None
,,,,August,28,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",3,"19, 25, 31",0,None
,,,,September,23,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 2325, 26, 27",7,"1, 21, 22, 24, 28, 29, 30",0,None
,,,,October,20,"1, 2, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 24, 26, 27, 28, 30",11,"3, 7, 8, 9, 14, 21, 22, 23, 25, 29, 31",0,None
,,,,November,23,"3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30",7,"1, 2, 9, 10, 18, 21, 22, ",0,None
,,,,December,19,"1, 2, 4, 6, 7, 9, 10, 11, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 29",12,"3, 5, 8, 12, 13, 17, 18, 19, 27, 28, 30, 31",0,None
,,,,Total,272,,60,,2,
,,,,Total %,81.4371,,17.9641,,0.5988,
