Acceptable,Unacceptable,Unapplicable,,Year: 2012,Acceptable days,,Unacceptable days,,Unapplicable days,
81,19,0,,Mouth,Nr.,Id.,Nr.,Id.,Nr.,Id.
,,,,January,18,"2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 20, 23, 27, 28, 29, 30",13,"1, 6, 7, 14, 17, 18, 19, 21, 22, 24, 25, 26, 31",0,None
,,,,February,24,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 1214, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28",4,"7, 13, 19, 20,",0,None
,,,,March,26,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 30, 31",5,"10, 13, 21, 28, 29",0,None
,,,,April,27,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30",3,"4, 5, 25",0,None
,,,,May,30,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 20, 31",1,22,0,None
,,,,June,21,"1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 23, 24, 26, 27, 29, 30",9,"6, 11, 14, 17, 20, 21, 22, 25, 28",0,None
,,,,July,24,"1, 3, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31",7,"2, 8, 9, 10, 11, 20, 30",0,None
,,,,August,28,"1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",3,"9, 11, 16, ",0,None
,,,,September,27,"1, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30",3,"2, 20, 21",0,None
,,,,October,28,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",3,"10, 16, 17",0,None
,,,,November,23,"1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",7,"3, 5, 14, 16, 17, 18, 28",0,None
,,,,December,13,"2, 2, 3, 4, 5, 9, 10, 12, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31",18,"1, 6, 7, 11, 13, 14, 15, 16, 17, 18, 28, 29, 30",0,None
,,,,Total,271,,63,,0,
,,,,Total %,81.1377,,18.8623,,0.0000,
