Time,GHI_1_Jun_Be_1,GHI_2_Jun_Be_1,GHI_3_Jun_Be_1,GHI_4_Jun_Be_1,GHI_5_Jun_Be_1,GHI_6_Jun_Be_1,GHI_7_Jun_Be_1,GHI_8_Jun_Be_1,GHI_9_Jun_Be_1,GHI_10_Jun_Be_1,GHI_11_Jun_Be_1,GHI_12_Jun_Be_1,GHI_13_Jun_Be_1,GHI_14_Jun_Be_1,GHI_15_Jun_Be_1,GHI_16_Jun_Be_1,GHI_17_Jun_Be_1,GHI_19_Jun_Be_1,GHI_20_Jun_Be_1,GHI_21_Jun_Be_1,GHI_22_Jun_Be_1,GHI_22_Jun_Be_1,GHI_23_Jun_Be_1,GHI_24_Jun_Be_1,GHI_25_Jun_Be_1,GHI_26_Jun_Be_1,GHI_27_Jun_Be_1,GHI_28_Jun_Be_1,GHI_29_Jun_Be_1,GHI_30_Jun_Be_1,
6:00:00,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6:10:00,2.8,2.5,2.3,2,2,1.1,1,1.3,1.5,0,0,1,0.9,0.8,0.8,0,0,0,0.5,0.5,0,0.4,0,0,0,0.3,0.3,0.3,0.3,0,
6:20:00,13.7,12,11.1,10.2,10.3,7.9,8.6,8.1,8.3,0.1,1.8,7.4,7.2,6.8,6.3,1.4,0,1.8,6.5,3.4,1.9,3.5,0,0.7,0.7,3.8,3.9,3.6,4.3,2.9,
6:30:00,35.9,32.4,31.2,29.7,29.3,35.2,17.2,26.9,26,1.6,4.9,24.5,25.3,22.3,21.3,13.4,2.1,5.7,22,15.5,5.2,7.5,0.4,3.4,6.6,16.3,15.8,14.5,16.6,12.6,
6:40:00,67.8,62.6,60.8,59.7,58.1,63.3,29.2,53,54.6,4.4,8.8,51.4,53.3,48.3,46.3,13.9,5.6,17,47.1,46.9,10.1,9.5,3.2,11.6,11.5,40.3,38.8,35.4,39.2,35.3,
6:50:00,105,98.4,96.7,96,93.8,87.8,36.6,82.6,90.9,13.6,9.1,85.1,88.9,82.3,79.9,20.8,7,22,80.7,82,19.4,30.9,5.9,20.5,17.4,73.1,70.9,65.7,70.9,67.1,
7:00:00,137.3,131,129.3,128.8,126.2,119.9,57.4,115.8,124.9,19.2,9.9,119.1,123.4,116.6,114.4,28.7,15.7,38.9,113.3,118.1,36.3,49.4,11.3,34.7,29.2,108.5,106.6,99,106.3,102,
7:10:00,169.2,163.6,160.7,161.1,157.8,153.1,59,146.8,156.2,23.7,13.9,149.6,153.5,147.5,145.5,35,21.5,47.1,142.5,151,56.9,65.3,18.1,39.1,50.5,139.6,137.6,130.5,137.9,132.9,
7:20:00,202.6,196.8,193.5,194.1,190.5,184.8,130.5,177.5,188.8,31.9,16.8,181.1,185.5,179,177.4,22.2,40.9,55.7,179.6,183.8,63.7,77.5,22.6,38,136.1,170.9,169,161.7,169.9,164,
7:30:00,236.4,230.4,227.3,228.2,224.2,213.7,143.6,208.6,222.1,36,31.5,213,217.8,211.3,210.3,55.5,56.3,87.8,212.6,217.4,69.6,156.6,31.6,48.9,165.8,203,201.6,193.1,203,196,
