Time,GHI_1_Jun_Be_2,GHI_2_Jun_Be_2,GHI_3_Jun_Be_2,GHI_4_Jun_Be_2,GHI_5_Jun_Be_2,GHI_6_Jun_Be_2,GHI_7_Jun_Be_2,GHI_8_Jun_Be_2,GHI_9_Jun_Be_2,GHI_10_Jun_Be_2,GHI_11_Jun_Be_2,GHI_12_Jun_Be_2,GHI_13_Jun_Be_2,GHI_14_Jun_Be_2,GHI_15_Jun_Be_2,GHI_16_Jun_Be_2,GHI_17_Jun_Be_2,GHI_18_Jun_Be_2,GHI_19_Jun_Be_2,GHI_20_Jun_Be_2,GHI_21_Jun_Be_2,GHI_22_Jun_Be_2,GHI_23_Jun_Be_2,GHI_24_Jun_Be_2,GHI_25_Jun_Be_2,GHI_26_Jun_Be_2,GHI_27_Jun_Be_2,GHI_28_Jun_Be_2,GHI_29_Jun_Be_2,GHI_30_Jun_Be_2
6:00:00,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:10:00,2.8,2.6,2.6,2.3,2.1,1.3,1.2,1.6,1.5,0,0,1.2,1.1,0.9,0.9,0,0,0,0.5,0.6,0.1,0.4,0,0,0,0.4,0.3,0.3,0.3,0
6:20:00,8.2,8.6,8.4,7.5,7.6,7.8,9.1,7,6.5,0.3,2.4,5.8,5.3,5.5,5.5,2.1,0,2.1,6.2,3.8,2.4,4.2,0,0.9,0.9,3.7,3.7,3.6,4,2.8
6:30:00,13.2,14.7,14.5,13.2,13.3,29.3,16.6,14.3,11.9,2,6.1,11.1,9.8,10.7,11.2,13.3,2.8,6.9,13.4,9,6.4,8.6,0.5,4.3,8.2,9.1,9.1,9.2,9.5,8.2
6:40:00,28.7,29.1,28.4,26.9,26.1,47.7,29.2,27,23,5.7,10.9,20.6,18.9,19.6,19.8,16.1,8.7,18.8,21.4,16.8,12,11.1,3.8,13.3,13.7,15.5,15.6,15.7,15.9,15.3
6:50:00,55.4,54,52.9,51.5,50,53.6,35,47.7,46.2,16,11.1,42.1,41.6,40.5,40.2,23.8,11.5,24.5,39.6,37.4,22.3,31.8,7.4,22.5,19,33.7,33.3,32.3,33.4,32.3
7:00:00,91,87.8,86.3,84.8,82.7,81.2,55,76.7,78.5,23.1,12,72.9,73.5,70.8,69.9,32.1,21.4,40.9,67.3,67.9,39.2,50.1,13.2,37.6,31.5,61.7,60.9,58,60.7,58.7
7:10:00,129.1,125.3,123,122.6,119.9,116.9,53.5,111.1,116.5,27.2,16.8,110.1,111.8,108.2,106.7,37.7,28,50.1,102.6,107.2,58,63.8,20.7,42.7,48,98,96.6,92.5,96.7,93.3
7:20:00,159.8,155.8,153.3,153.4,150.5,146.4,113.6,140.1,148.1,35,19.6,141.6,144.5,140.4,139.3,24.9,45.2,58.8,139.7,142.6,64.7,74,25.3,43.1,119.3,132.7,131.2,126.3,132.1,127.8
7:30:00,190.8,186.4,184,184.3,181,172.8,126.8,168.3,178.3,40.8,35.4,170.6,174,169.7,168.9,58.6,59.9,89.5,169.6,172.7,72.8,139.3,36,51.7,144.2,161.6,160.5,154.4,161.8,156.4
7:40:00,222.9,219,216.2,216.4,213.2,202.2,133.4,188.6,209.4,55.4,41.9,201.5,204.7,200.4,199.9,47.5,73,111.5,199.9,205.9,95.6,215.8,34.2,64.1,157.1,192.1,190.5,183.7,192.5,186.6
7:50:00,255.6,251.6,249.1,249.1,245.9,232.5,155.8,207.6,241.8,67.6,33.6,233.4,236.1,231.7,231.8,95.6,118,112.8,231.5,217.4,110.9,226.7,33.2,86.9,268.1,223.2,221.4,213.3,224,217.1
8:00:00,288.9,285.2,281.9,281.9,279.3,269.2,143,242.7,274,69.5,41.3,265.1,267.6,263.8,264.5,137.3,166,114.6,264.9,286.9,125.6,259.2,39.8,122.7,272.7,254.9,253.7,244.2,255.9,249.2
8:10:00,321.5,317.6,315.7,315,312.7,303.1,199.5,265.1,306.8,101.7,49.8,297,298.6,295.6,296.8,213,156.8,157.2,297.6,215.9,141.7,215.3,50.1,125.6,291.6,287.7,285.4,275.1,287.9,281.2
8:20:00,354.2,350.1,349.2,347.5,345.9,332.8,314.4,272.9,339.1,103.7,48.3,329.6,331,328.1,329.2,194.2,169.5,163.6,330.8,292.2,158.9,329.6,60.3,152.8,249.6,320.2,318.2,307.2,319.7,313.1
8:30:00,386.7,383.1,381.3,380,377.7,369.1,247.6,333,371.1,139.2,69.2,361.9,363.6,359.5,361.7,198.7,186.3,168.7,363.1,298,180.6,364.4,73,179.6,391.7,351.3,351.3,338.7,351.8,344.5
8:40:00,418,414.9,412.7,412.1,409.6,406.6,352.7,371.8,402.5,169.2,123.7,393.3,394.9,390.1,393.1,162.6,205,187.9,394.1,313.7,194.2,394.9,86.1,199.1,449.1,383.1,383.6,370.3,383.1,375.4
8:50:00,448.8,446.1,443.7,442.8,439.8,428.1,400.9,423.7,433,237.7,208.9,423.7,426,419.7,423.5,165.9,328.1,187.9,424.9,364.4,222,423.5,94.4,226.7,440.7,413.5,413.8,400,414.1,404.7
9:00:00,479,476.4,473.2,471.2,470,458.7,423.7,452.8,461.8,207.6,216.1,452.8,454.6,449.4,453.7,158.4,157.3,225.3,455.9,434.2,239.2,215.5,87.4,248.9,180.5,442.8,443.4,430.7,443.7,433.3
9:10:00,506,503.6,502.2,499.5,497.5,488.1,447.9,481.2,486.8,317.4,223.4,481.6,482.9,479,483.2,170.6,323.4,244.7,486.2,474.1,244.4,414.1,91.5,238.2,179.4,471.2,470.9,460.5,471.9,461.2
9:20:00,533,530.5,529.8,526.2,524.1,498.8,473.8,507.7,516.3,270.3,243.9,508.7,509.7,506,509.1,162.5,420,278.7,512.9,502.9,267.1,534.1,112,263.8,238.5,498.1,498.5,490.1,498.5,487.8
9:30:00,560.4,557.8,556.3,552.5,551,544,489.5,532.7,544.3,287.3,279.3,533.4,536.3,532,535.9,192.7,242.1,347.5,539.6,440.4,302.3,548,124.5,219.9,252.8,524.1,524.1,516.3,526.2,513.6
9:40:00,584,582.1,580.5,577.7,575.4,558.1,521.3,555.1,568.1,321.5,344.7,556.6,559.3,557,561.6,121.5,248.9,359.7,522.7,483.9,313.1,580.5,128.1,255.7,522.3,548.8,549.1,540.3,552.5,537.7
