Time,GHI_1_Apr_Cha,GHI_2_Apr_Cha,GHI_3_Apr_Cha,GHI_4_Apr_Cha,GHI_5_Apr_Cha,GHI_6_Apr_Cha,GHI_7_Apr_Cha,GHI_8_Apr_Cha,GHI_9_Apr_Cha,GHI_10_Apr_Cha,GHI_11_Apr_Cha,GHI_12_Apr_Cha,GHI_13_Apr_Cha,GHI_14_Apr_Cha,GHI_15_Apr_Cha,GHI_16_Apr_Cha,GHI_17_Apr_Cha,GHI_18_Apr_Cha,GHI_19_Apr_Cha,GHI_20_Apr_Cha,GHI_21_Apr_Cha,GHI_22_Apr_Cha,GHI_23_Apr_Cha,GHI_24_Apr_Cha,GHI_25_Apr_Cha,GHI_26_Apr_Cha,GHI_27_Apr_Cha,GHI_28_Apr_Cha,GHI_29_Apr_Cha,GHI_30_Apr_Cha
6:00:00,6.5,8.7,9.3,8,0,4.4,7.8,8.4,8.1,8.7,8.4,0,0.3,5.3,5.2,5.9,5.5,5.4,4.2,7.8,5.7,3.9,4.4,2.9,0,2.7,3.1,3.6,4,2.9
6:10:00,28.4,32.3,32.1,30.1,0,15.2,29.3,31.9,32,32.5,28.6,1.6,3.8,22.6,18,24.8,24.6,21.6,21.5,21.2,20.8,14.6,19.3,18.8,2.3,11.2,16.8,19.9,22.4,14.9
6:20:00,64.2,68.2,67.2,65.2,1.3,18.9,64.5,70.2,69.4,69.8,59.2,4.6,7.8,54.2,48.9,57.4,58.1,50.9,48,28.9,43.9,46.1,30.9,22,10.3,20.9,54.9,50.2,57.9,29
6:30:00,104,107.5,107.6,103.7,2.9,22.7,104.7,111.5,110.9,111.8,107.3,8.3,14.5,91.1,73.1,97,98.1,87.3,72.3,37.4,63.7,89,86.2,40.6,36,25.6,94.8,89.6,109.7,106.5
6:40:00,141.3,142.9,144.1,139.2,6.8,84.6,140.9,148.1,147.5,148.8,139.1,12.6,34.2,126.9,76,132.7,133.2,121.8,108.8,48,132,124.5,111.2,79.4,17.7,45.6,131,125.3,139.3,162.1
6:50:00,179.5,180.1,181.5,175.1,12.4,182.7,178.8,185.8,185.9,187.2,139.5,22.7,31.4,163.8,123.5,170.1,169,157.1,114.8,51.5,166.1,160.3,62.6,84.5,21,90.5,166.4,162.8,170.1,181.3
7:00:00,218.9,218.9,220.1,212.6,21.9,218.9,217.7,225.5,225.1,226.7,165.4,37.6,41.9,202.4,206.7,208.6,206.9,192.5,178.3,53.3,202.9,195.8,146.9,101.1,9.4,115.9,203.5,199.5,171.7,210.5
7:10:00,258.6,258.9,259.4,252.5,38.6,258.2,258.2,266.2,265.3,266.9,235.2,62,44.2,242.1,230.4,247.6,245.4,230.6,224,184.8,241.3,233.4,227.7,117,9.3,219.3,242.9,239.4,194.2,247.8
7:20:00,297,299.7,299.5,292.3,33.1,300.9,298.7,306.8,306,307.5,297.2,106.7,29.5,273.7,233.7,287.2,284.4,269.1,261,150.8,280.1,271.5,255.9,122,19.2,154.3,290.3,278.9,294,276.1
7:30:00,340.8,339.6,339.4,331.5,60.3,342.2,339.2,347.5,346.4,348,330.6,175.1,63.6,319.8,323.9,327,323.5,306.4,299.9,130.2,319.4,308.5,223.5,181.3,68.9,157.2,334.4,308.5,311.7,311
7:40:00,381.8,379.8,378.7,370.9,75.8,302.3,379,387.8,386.8,387.8,359.3,134.6,96,359.5,363.7,366.6,362.2,345.2,338.3,200.2,357.3,349,300.1,199.9,113.4,253,359.5,314.6,359.8,349.2
7:50:00,421.5,418.7,418.1,409.7,80.7,409.7,418.7,427.2,427,427.5,402.5,121,58.8,399.8,403.4,405.5,399.6,384.7,376.4,211.6,395,391.5,352,368.6,174.7,342.4,342.9,315.5,330.6,386.8
8:00:00,373.1,458.7,456.9,448.3,127.7,323,458.1,466.2,465.9,466.9,449.2,121.1,85.6,441.4,429.6,443.8,438.1,422.9,413.6,234.7,431.9,423.2,287.2,436.9,145.6,227.5,459.6,411.4,449.2,419.5
8:10:00,282.9,493.5,495.2,486.2,173.5,250.5,496.9,504.7,504,505,505,129.9,118.8,450.4,457.2,481,475.5,460.3,450.7,248.3,468.8,454.7,276.8,468.1,353.2,217.4,418.7,368.6,484.2,398.5
8:20:00,392.6,537.1,532,522.4,185.1,257.9,536.7,542.2,541.8,542.6,540.4,163.1,123.4,431.9,426.1,516.8,511.2,496.2,485.6,317.8,504.7,497.9,252,409.7,500.6,284.6,282.5,456.2,518.5,434.5
8:30:00,390.2,571.6,568.1,558.2,229.4,271.6,578.2,578.6,579,579,516.8,180.2,164.4,480.3,555.6,551.4,545.5,529.9,519.2,371.1,539.3,531.3,329.9,324.8,548.5,455.6,403.6,467.8,524.2,536.4
8:40:00,595.7,606.3,603,593.3,225.1,261.7,612.9,613.7,614.1,614.5,342.9,206.4,215.9,589.7,394.7,585.3,579.4,563.5,552.2,640,573.9,567,240.2,187.7,684.8,506.4,677,562,560.5,567.4
8:50:00,671.1,640.9,637.8,628.4,205.8,276.7,642.6,647.8,648.7,648.3,410.2,312.7,414.7,619.1,403.1,618.7,611.6,596.5,584.1,696.5,606.7,573.9,396.6,315.7,308.1,687.1,734.8,523.4,623.3,599.7
9:00:00,702.7,675.2,670.6,660.2,200.5,279.7,672.9,679.7,680.2,680.2,424.7,216.7,587.3,623.7,435.7,650.5,642.6,627.6,614.9,695.6,639.6,630.1,332.4,688.5,156.7,721.5,758.5,497.5,693.2,643.9
9:10:00,672,705.5,699.8,689.5,171.6,303.3,704.6,710.8,709.8,709.8,493.5,489.5,330.8,659.8,497.5,681.1,672.9,658,644.8,356.8,671.5,652.2,283.5,438.1,161.6,709.4,869.7,332.6,437.5,706.5
9:20:00,693.7,735.3,728.8,720.5,175.4,633.5,735.8,740.3,739.8,739.8,611.2,367.4,152.6,707.9,620,708.9,701.7,686.2,663.8,358.5,705.5,674.2,425.5,440.8,166.4,582.9,830.5,631.8,507.1,431.9
9:30:00,782,762.1,756.5,747.3,176,465,763.7,767.8,768.3,767.3,847.6,497.2,489.2,684.4,722.9,736.3,726.9,713.2,683.4,504.3,735.8,706,769.9,357.6,411.4,280.8,875,743.3,592.9,460.3
9:40:00,776.2,790,782.5,773,182.8,278,790,795.3,793.7,794.3,784.1,429,295,662,677.4,761.6,752.4,737.8,718.5,570,761.6,730.8,500.2,553.7,305.2,572.4,751.9,642.2,633.1,599.7
9:50:00,812.7,826.6,805.1,796.9,183.8,322.4,813.3,819.9,816.6,817.7,797.5,685.3,327.9,776.2,809.4,784.6,774.6,761.1,745.8,503.6,730.8,752.9,581.3,335.5,74.5,718.1,819.4,820.5,764.7,665.6
10:00:00,825.5,672,828.9,846.4,249.4,344.3,835,841.9,837.9,839,809.4,388.6,247.9,839,905.7,805.1,794.8,782,766.8,449.2,746.3,792.1,593.7,300.7,62.7,468.8,851,731.8,800.2,714.2
10:10:00,865.6,891.7,860.3,827.7,224.9,368.1,858.5,858,858.5,858,882.1,400.4,253.4,876.2,860.9,824.4,817.2,800.7,786.2,418.9,812.7,801.3,868.5,157.2,68,496.2,972.4,818.3,622.1,729.3
