Time,GHI_1_Jun_Mna,GHI_2_Jun_Mna,GHI_3_Jun_Mna,GHI_4_Jun_Mna,GHI_5_Jun_Mna,GHI_6_Jun_Mna,GHI_7_Jun_Mna,GHI_8_Jun_Mna,GHI_9_Jun_Mna,GHI_10_Jun_Mna,GHI_11_Jun_Mna,GHI_12_Jun_Mna,GHI_13_Jun_Mna,GHI_14_Jun_Mna,GHI_15_Jun_Mna,GHI_16_Jun_Mna,GHI_17_Jun_Mna,GHI_18_Jun_Mna,GHI_19_Jun_Mna,GHI_20_Jun_Mna,GHI_21_Jun_Mna,GHI_22_Jun_Mna,GHI_23_Jun_Mna,GHI_24_Jun_Mna,GHI_25_Jun_Mna,GHI_26_Jun_Mna,GHI_27_Jun_Mna,GHI_28_Jun_Mna,GHI_29_Jun_Mna,GHI_30_Jun_Mna,GHI_31_Jun_Mna
6:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:10:00,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:20:00,0.7,2.4,3.5,3.4,1.2,0.5,0.5,1.8,2.4,2.5,0,1.8,2.1,1.9,1.5,1.3,0.8,1.5,1,0.5,0.2,0,0.9,0,0.8,1.4,0.6,1.4,0,0,0.5
6:30:00,4.4,11.7,15,16,6.2,4.4,4.4,8.3,10.9,11.4,1,9.7,10.8,9.5,8.6,7.8,5,9.2,7.6,5.2,3.1,2.7,7.4,1.1,6.4,7.7,5.6,7.7,0.1,1.6,5
6:40:00,9.5,35.7,37.5,39.5,14.7,12.5,12.5,20.7,30.4,29.9,4.3,25.9,29.8,25.9,23.7,22,14.8,23.6,25.1,14.4,7.9,8.8,23.7,5.1,21,21.9,19.2,21.9,1.9,5.8,16.6
6:50:00,19.4,64.6,67.9,70,24.6,22.4,22.4,32.9,59.6,58.2,7.8,50.9,57.8,51.2,47.4,44.7,24.7,49,51.7,28.2,25.4,18.6,49.2,10.8,45.3,45.6,41.9,45.6,5.6,10.9,40.8
7:00:00,29,88.5,101.6,104.5,39.9,31.3,31.3,54.1,93.8,92.5,18.3,83.5,92.3,84,78.9,75.1,34.8,77.7,66.3,37.8,34.4,29.3,82.4,17.7,77.2,77,72.6,77,10.6,18.5,66
7:10:00,51.4,118.1,131.7,135.5,53,37.6,37.6,79,125.9,125.3,27.1,116.6,125.5,116.2,111.1,107.1,65.2,117.5,93.3,40.9,67.9,40.8,116.9,26.9,111.3,108.5,105.6,108.5,16.5,27.6,91.6
7:20:00,58.7,149.6,160.3,165.5,63.5,46.6,46.6,94.2,154,155.5,40.3,145.8,155.2,145.1,139.9,136.1,115.4,129.5,178.9,48,99.3,55.1,146,35,140.3,140,134.3,140,23.8,36.1,128.1
7:30:00,66.3,180.7,188.7,195.8,77,53.5,53.5,124.2,181.3,186.1,77,176.9,185.7,175.1,169.9,166.1,148.6,90.1,224.9,68.7,190.9,79,175.5,43.7,169.2,169.5,163.6,169.5,34.6,45.2,159.8
7:40:00,70.5,216.2,221.3,227,91.6,63.7,63.7,166.3,210.5,216.8,78.7,207.1,216.5,205.5,200.7,196.7,126.3,220.2,133.9,82.5,222.3,97.6,206.1,50.2,199.1,200.2,193.8,200.2,40.5,56.1,181.8
7:50:00,79.8,247.8,254.7,260.8,103,83.1,83.1,205.5,241.6,248.6,87.4,239.2,248.3,236.8,233,227.7,122.1,226.7,145.5,78.8,203.3,114.4,237.1,60.3,230,230.8,225.5,230.8,50.6,67.1,220.8
8:00:00,126.8,280,286.2,293,117.4,95.5,95.5,248.6,272.9,280.2,189.1,270,280.2,268.4,264,259.1,125.4,280.8,321.3,115.5,271.6,148.3,268.2,75.7,261.2,262.1,256.8,262.1,56.1,71.3,251.5
8:10:00,116.5,312.9,318.5,325,121.6,109.9,109.9,280,304.8,311.9,275.2,301.1,311.9,299.5,294.8,290.5,77.5,298,343.3,116.7,299.3,171.2,300.3,84.7,292.1,294.4,287.7,294.4,62.2,84.3,273.1
8:20:00,131.7,346.1,350.6,353.5,130.7,160.1,160.1,310.2,336,342.4,369.9,331.5,343.6,330.3,325,320.6,56.7,329.4,347.3,126,329.4,194.2,330.8,95.2,322,330.3,318.7,330.3,66.4,89,313.1
8:30:00,188.4,375.2,379,382.9,148.7,224.3,224.3,338.3,366.1,372.4,395.8,361.5,373.7,360,355.2,350.4,67.6,358.1,347.3,195.8,358.5,266.9,360.7,110.1,352.3,354.2,348.5,354.2,77.3,95.3,332.8
8:40:00,228.6,410.2,409.1,412.7,161.9,228.1,228.1,353.2,395,401.4,413.6,389.9,403.4,389.1,384.9,380,138.7,388.1,393.9,257.7,387.3,228.4,389.4,118.1,381.6,387.3,378,387.3,94.3,99.5,369.4
