Time,GHI_1_Jun_Ndza,GHI_2_Jun_Ndza,GHI_3_Jun_Ndza,GHI_4_Jun_Ndza,GHI_5_Jun_Ndza,GHI_6_Jun_Ndza,GHI_7_Jun_Ndza,GHI_8_Jun_Ndza,GHI_9_Jun_Ndza,GHI_10_Jun_Ndza,GHI_11_Jun_Ndza,GHI_12_Jun_Ndza,GHI_13_Jun_Ndza,GHI_14_Jun_Ndza,GHI_15_Jun_Ndza,GHI_16_Jun_Ndza,GHI_17_Jun_Ndza,GHI_18_Jun_Ndza,GHI_19_Jun_Ndza,GHI_20_Jun_Ndza,GHI_21_Jun_Ndza,GHI_22_Jun_Ndza,GHI_23_Jun_Ndza,GHI_24_Jun_Ndza,GHI_25_Jun_Ndza,GHI_26_Jun_Ndza,GHI_27_Jun_Ndza,GHI_28_Jun_Ndza,GHI_29_Jun_Ndza,GHI_30_Jun_Ndza,,,,,,,,,,,,
6:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6:10:00,0,0,0.7,0.6,1.5,0,1.1,1.1,1.1,0.5,0.8,0.5,0.8,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0,0.3,0.3,0.4,0,0,0,0.1,,,,,,,,,,,,
6:20:00,1.7,1.8,4.3,4,7.7,0.4,5.3,5.4,6.7,3.7,4.2,3.6,5.6,3.8,3.8,3.2,3.6,3.1,3.3,3.6,3.5,3.7,1.8,3.5,3.4,3.7,0.5,1.2,0,2.4,,,,,,,,,,,,
6:30:00,4.7,8,10.3,9.3,23.2,3.7,16.6,17.6,22.4,11.8,17.2,11.9,21.1,10.9,14.1,11.9,14,7.1,16.6,16.4,15.4,17.8,5.8,16.3,15,16.4,2.7,4.3,1.2,10.5,,,,,,,,,,,,
6:40:00,8.8,29.2,17.4,12.1,47.7,12.2,36.1,39.4,48.1,27.3,46.2,24.2,46,29.4,33.8,30.1,38.3,13.5,38.6,41.6,34.9,43.5,16.2,42.7,36.8,41.8,5.9,8.6,4.1,29.1,,,,,,,,,,,,
6:50:00,13.9,32,31.6,24.2,79.3,24.3,59.7,68.9,78.8,31.2,73.6,38.7,77.2,46.1,61.7,56.4,70.3,67,69,74.5,60.7,76.3,27.4,73.9,66.8,66.4,10.8,19.2,7.7,55.4,,,,,,,,,,,,
7:00:00,19.4,45.8,78.2,34.7,112.2,29.4,89.7,102,107.2,57.5,74.4,57.7,111.1,50.2,93.9,87.9,100.3,103.9,104.8,109.9,94.8,105.7,39.3,112.5,101.8,100.9,19.6,32.2,12.9,68.3,,,,,,,,,,,,
7:10:00,24.1,44.4,132.2,40.4,142.8,35.7,118.3,132,132.9,77.2,63.7,79.4,142.1,60.7,123.8,118.2,120.9,136.3,136.9,135.2,128,131.8,51.3,138.1,134,112.3,26.6,64.9,20.2,103.6,,,,,,,,,,,,
7:20:00,38.2,56.5,158.1,52.9,173.2,36,146.6,162.9,160.8,92.6,73.6,196.4,172.5,78.4,153.6,149.6,138.8,166.7,167.1,129.5,158.2,163.2,55.4,200.1,164,149.5,37.3,112.1,28.4,143.2,,,,,,,,,,,,
7:30:00,51.7,60.8,190.5,68.8,204.9,39.8,177.4,195.2,190.7,120.5,154.1,122.5,203.3,85.2,183.1,181,146.9,197.4,197.4,159.5,190.3,192.1,87.1,146.9,194.6,191.1,37.4,151.3,38.7,153.8,,,,,,,,,,,,
7:40:00,73.1,79.8,190.6,87.9,236.5,41.6,209.3,227.6,221.8,145.3,223.9,59.5,234.8,99.1,214.1,212.1,163.4,233.4,229.6,181,223.2,222.7,185.6,198.4,226,221.2,48.2,164.7,52.3,180.2,,,,,,,,,,,,
