Time,GHI_1_Oct_Nzi,GHI_2_Oct_Nzi,GHI_3_Oct_Nzi,GHI_4_Oct_Nzi,GHI_5_Oct_Nzi,GHI_6_Oct_Nzi,GHI_7_Oct_Nzi,GHI_8_Oct_Nzi,GHI_9_Oct_Nzi,GHI_10_Oct_Nzi,GHI_11_Oct_Nzi,GHI_12_Oct_Nzi,GHI_13_Oct_Nzi,GHI_14_Oct_Nzi,GHI_15_Oct_Nzi,GHI_16_Oct_Nzi,GHI_17_Oct_Nzi,GHI_18_Oct_Nzi,GHI_19_Oct_Nzi,GHI_20_Oct_Nzi,GHI_21_Oct_Nzi,GHI_22_Oct_Nzi,GHI_23_Oct_Nzi,GHI_24_Oct_Nzi,GHI_25_Oct_Nzi,GHI_26_Oct_Nzi,GHI_27_Oct_Nzi,GHI_28_Oct_Nzi,GHI_29_Oct_Nzi,GHI_30_Oct_Nzi,GHI_31_Oct_Nzi,
6:00:00,43.1,33.9,125.9,102.2,98,142.1,103.9,113.7,61.9,53,54.3,67.9,96.7,9.4,48.1,124,91.1,120.9,107.5,126.3,85.8,144.3,146.5,21.6,11.9,174.2,164,126.3,138.1,151.5,157.4,
6:10:00,67.7,66.6,160.9,136.4,127.8,155.7,133,145.3,173.2,77.9,67,64.8,73.1,15,77,163.7,89.8,93.8,147.5,159.8,149.4,195.9,212.7,9.8,7.9,193.4,201.1,191.9,161.7,159.8,191.5,
6:20:00,71,133.8,199,174.2,161.9,206.3,163.2,175,152.1,164.2,80.9,117.7,136.6,24.5,80.6,197.8,108.4,101.6,181.2,194.4,189.9,233.3,183.2,11.2,19.3,223.4,238.4,347.4,88.8,287.8,227.9,
6:30:00,96.1,207.6,238.1,194.8,196.9,235.9,193.8,207.3,210.1,126.2,112.6,190.8,81.5,41.7,92.4,236.8,183.1,109.5,220.1,230.5,183.4,270.3,202.3,24.4,44.7,310.7,276.7,287.4,156.1,326.9,260.7,
6:40:00,124.7,171.1,278.2,219.1,234,201.1,226.3,242.4,276.4,167,144.2,234.9,222.7,87.9,100.4,173,230.4,146.4,256.9,269.5,173.4,280.7,223.6,40.1,61.4,282,317.3,105.8,120.9,344.4,306.1,
6:50:00,188.1,326.7,318.1,163,271.7,238.9,262.9,279.9,303,186.4,165.1,231.3,178.5,108.1,66,195.7,306.7,217.3,293.9,299.3,221.5,346.9,311.3,55.8,89.8,430,355.7,116.8,183.7,204.1,337.9,
7:00:00,164.7,365.8,361.8,198.2,309.9,336.5,299.5,318.8,340.2,242.5,200.9,204.1,240.4,192.9,174.9,240.9,354.1,340.9,329.1,346,294.5,373,290,55.5,84.6,396.2,394.8,110.3,251,418.5,383.5,
7:10:00,201.9,404.8,399.1,257.1,347.4,367.5,338.1,349.5,376.8,340.4,226,296.7,346,237.5,377.6,279.8,380.7,232.1,366.2,386.1,240.6,315.8,272.5,63.7,96,237,432.9,176.7,541.2,480.8,419.1,
7:20:00,178.8,441.8,438.8,342.3,385.1,229.7,374.5,387.1,427.1,357.2,318.6,287.4,248.2,235.7,475.9,352.6,417.9,340.2,405.1,410.6,434.1,223.4,463.5,47.5,74,355.3,472.7,242.8,525.4,495.3,455.7,
7:30:00,299.5,419.1,480.1,402.1,421.9,260.6,410.4,432.3,485.4,482.1,378.9,386.1,93.1,194.8,532.9,351.7,456.1,387.4,443.6,453.9,387.4,136.8,387.1,45.9,67.7,426.5,511.7,181.3,534.3,531.4,491.3,
7:40:00,326.4,409.2,521.1,465.7,459.2,227.1,459.5,489,496,433.2,464.5,416.5,105,187.5,459.5,245.3,445.4,416.2,480.1,457.9,427.9,413.4,229.9,53.7,75.5,619.7,553.8,198.8,572.1,529.6,533.6,
7:50:00,384.3,572.9,556.9,497,494.3,303.2,393.5,539.1,587,373.8,457,462.6,92.7,177.3,591.4,284.7,385.6,280.5,514.5,477.5,503.4,354.1,340,44.3,110.4,620.6,534.7,475.6,610.1,586.6,576.8,
8:00:00,392.4,594.6,618.5,552.4,517.9,291.3,446,531.4,556.9,364.5,549.7,357.2,185.4,197.4,488.3,303.4,503.4,201.5,549,503.4,540.5,577.6,241.2,77.5,106.8,645,563.3,371.7,687.3,635.9,409.2,
8:10:00,571,640.2,351.4,573.7,574.5,309.2,544.9,615.9,623.1,336.1,587.4,240.6,224.7,167.6,420.5,505.1,589.8,243,583.5,547.9,583.5,301.6,546.4,90.9,156.6,688.3,746.5,727.5,789.1,676.3,470.2,
8:20:00,504.8,667.6,607.7,600.3,597.5,534.7,634.1,643.7,681.8,317.9,620.6,386.1,226.3,194.1,466.4,322.5,589,549.7,614.7,488.7,620.1,200.6,571,99.4,179.1,714.4,734.5,685,736,712.4,771.7,
8:30:00,643.7,701,703.3,631.6,631.1,647.2,667.2,582.3,457,445.7,655.1,574.1,276.5,199,567.1,163.1,638.4,615.5,647.2,569,697.2,274.9,708.6,53.1,229.9,740.5,753.1,749,591,735.5,824.1,
