Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
6:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:10:00,0.3,0.4,1.1,0.7,0.9,0,0.6,0.5,0.1,0,0,0,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:20:00,4,3.5,7.8,4.1,4.9,4.4,5.5,4.5,2.5,0.3,3.2,0.1,3.9,3.9,3,0,0.9,0.7,0.3,2.1,1,1.7,2,1.7,1.5,2.1,1,1.1,0,1.2
6:30:00,16.1,11.3,24.6,13.7,25.7,13.3,18.2,16.8,8.5,3.7,14,2.6,15.9,14.7,14.9,1.3,7.3,13.7,4.1,13.7,6.1,7,11.2,10.3,11.4,10.5,8.8,6.7,0,6.5
6:40:00,25.8,28.1,50.5,29.9,56.2,14.9,39.4,39.2,19.9,9.7,17.7,8.1,34,35.3,39.6,7.7,23,21.4,11.8,38.4,14.8,9.4,28.5,31.9,34.7,26.1,26.4,21.9,3.1,17.3
6:50:00,32.9,53.6,83.1,81.2,90.1,22,68.9,68.9,43.7,13.1,47.4,15.6,75.1,64.7,71.7,12,25.7,18,21.9,78.8,25.1,15.2,61.5,57.1,43.4,47.2,50,38.9,4.7,45.3
7:00:00,57.7,84.9,115.6,107.2,118.6,32.9,99.6,99.6,65,26.4,87.1,21.5,112.3,98.2,104.6,19.5,32.6,59.7,32.7,114.9,37.8,25.7,83.2,42.7,27.3,94.5,74.1,59.4,4.3,66.5
7:10:00,118.9,78.5,145.8,130.9,145.7,56.8,130.1,128.4,77.5,48.8,76.1,30.3,142.6,127.7,132.8,26.2,26.4,82.3,56.5,92.7,45.9,40.2,154,49.6,35.7,126.5,99.6,97.6,9.7,85.5
7:20:00,167.1,126,174.9,170.4,176.8,107.9,161,159.2,108.6,43,97.1,42.2,172.8,157.7,161,50.3,32,125.9,75.1,180.8,52.8,64,187.3,161.3,101.5,156.3,123.7,125.7,15.2,110.6
7:30:00,154.6,85.1,209.5,206.1,209.4,143.9,195.7,190.7,136.9,57.2,49.1,47,204.2,187.6,189.4,42.8,51.3,93.1,65.3,210.2,56.4,73,180,192.1,181,186.5,159,153.9,22.3,144.3
