kt*,,,,,,,,,,,,,
0.0237,,Minim,0.0001,,Classes,Cut,Frequency,,Sequence,Ponts,Value,MDF,
0.0469,,Maximum,0.9931,,1,0.1104,13,,1,1,0.0100,0.5532,
0.0449,,Average,0.3905,,2,0.2208,13,,3,2,0.0200,0.5816,
0.0510,,Size (n) ,73.0000,,3,0.3311,9,,5,3,0.0299,0.6106,
0.0716,,Est. Classes,8.5440,,4,0.4414,7,,7,4,0.0398,0.6403,
0.1052,,Classes,9.0000,,5,0.5517,10,,9,5,0.0497,0.6705,
0.1277,,Increment,0.1103,,6,0.6621,7,,11,6,0.0597,0.7011,
0.1061,,Std. Dev.,0.2729,,7,0.7724,6,,13,7,0.0696,0.7323,
0.1025,,Increment 2,0.0099,,8,0.8827,4,,15,8,0.0795,0.7638,
0.1103,,Aditional,8.4337,,9,0.9931,4,,17,9,0.0895,0.7956,
0.1611,,All mesures,0.9931,,Mesure,8.4337,0.1103,,19,10,0.0994,0.8276,
0.2166,,,,,,,,,21,11,0.1093,0.8598,
0.1986,,,,,,,,,23,12,0.1193,0.8921,
0.1612,,,,,,,,,25,13,0.1292,0.9243,
0.1555,,,,,,,,,27,14,0.1391,0.9564,
0.1407,,,,,,,,,29,15,0.1490,0.9884,
0.1132,,,,,,,,,31,16,0.1590,1.0200,
0.1520,,,,,,,,,33,17,0.1689,1.0513,
0.0992,,,,,,,,,35,18,0.1788,1.0821,
0.2239,,,,,,,,,37,19,0.1888,1.1124,
0.1201,,,,,,,,,39,20,0.1987,1.1419,
0.1461,,,,,,,,,41,21,0.2086,1.1707,
0.2801,,,,,,,,,43,22,0.2185,1.1987,
0.2299,,,,,,,,,45,23,0.2285,1.2257,
0.2249,,,,,,,,,47,24,0.2384,1.2516,
0.2333,,,,,,,,,49,25,0.2483,1.2764,
0.2532,,,,,,,,,51,26,0.2583,1.2999,
0.2959,,,,,,,,,53,27,0.2682,1.3222,
0.3639,,,,,,,,,55,28,0.2781,1.3430,
0.3125,,,,,,,,,57,29,0.2881,1.3624,
0.3667,,,,,,,,,59,30,0.2980,1.3802,
0.5917,,,,,,,,,61,31,0.3079,1.3964,
0.4016,,,,,,,,,63,32,0.3178,1.4110,
0.3753,,,,,,,,,65,33,0.3278,1.4237,
0.4447,,,,,,,,,67,34,0.3377,1.4347,
0.5582,,,,,,,,,69,35,0.3476,1.4439,
0.4558,,,,,,,,,71,36,0.3576,1.4512,
0.6052,,,,,,,,,73,37,0.3675,1.4567,
0.8229,,,,,,,,,75,38,0.3774,1.4602,
0.6511,,,,,,,,,77,39,0.3874,1.4617,
0.7400,,,,,,,,,79,40,0.3973,1.4614,
0.5192,,,,,,,,,81,41,0.4072,1.4591,
0.7223,,,,,,,,,83,42,0.4171,1.4549,
0.8044,,,,,,,,,85,43,0.4271,1.4488,
0.7167,,,,,,,,,87,44,0.4370,1.4408,
0.9321,,,,,,,,,89,45,0.4469,1.4309,
0.7628,,,,,,,,,91,46,0.4569,1.4193,
0.9668,,,,,,,,,93,47,0.4668,1.4058,
0.6695,,,,,,,,,95,48,0.4767,1.3907,
0.8565,,,,,,,,,97,49,0.4866,1.3739,
0.8333,,,,,,,,,99,50,0.4966,1.3555,
0.9500,,,,,,,,,101,51,0.5065,1.3356,
0.5968,,,,,,,,,103,52,0.5164,1.3142,
0.9931,,,,,,,,,105,53,0.5264,1.2914,
0.7077,,,,,,,,,107,54,0.5363,1.2674,
0.5058,,,,,,,,,109,55,0.5462,1.2422,
